couponDates,couponAmounts,faceAmounts,formula,name,currency,issueDate,isin,risk
09/05/2012,37.4,0,OFZ,26208,RUB,03/07/2012,RU000A0JS4M5,RF
03/06/2013,37.4,0,,,,,,
09/04/2013,37.4,0,,,,,,
03/05/2014,37.4,0,,,,,,
09/03/2014,37.4,0,,,,,,
03/04/2015,37.4,0,,,,,,
09/02/2015,37.4,0,,,,,,
03/02/2016,37.4,0,,,,,,
08/31/2016,37.4,0,,,,,,
03/01/2017,37.4,0,,,,,,
08/30/2017,37.4,0,,,,,,
02/28/2018,37.4,0,,,,,,
08/29/2018,37.4,0,,,,,,
02/27/2019,37.4,1000,,,,,,
