dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2016-06-30,109.6171875,0.00565,102.0859375,0.003729,0.003721,0.0025,0.005
2016-07-01,109.5859375,0.00565,102.0742188,0.003792,0.003791,0.0025,0.005
2016-07-05,109.6640625,0.00475,102.1835938,0.003783,0.003785,0.0025,0.005
2016-07-06,109.6015625,0.00475,102.1171875,0.003758,0.003782,0.0025,0.005
2016-07-07,109.5859375,0.00475,102.1132813,0.003798,0.003821,0.0025,0.005
2016-07-08,109.546875,0.00475,102.0507813,0.00387,0.003887,0.0025,0.005
2016-07-11,109.4609375,0.00475,101.921875,0.003901,0.003968,0.0025,0.005
2016-07-12,109.390625,0.00475,101.8476563,0.003943,0.004037,0.0025,0.005
2016-07-13,109.421875,0.00475,101.8789063,0.00392,0.003976,0.0025,0.005
2016-07-14,109.375,0.00475,101.828125,0.00399,0.004055,0.0025,0.005
2016-07-15,109.296875,0.00475,101.7304688,0.004014,0.004085,0.0025,0.005
2016-07-18,109.3046875,0.00475,101.7617188,0.003983,0.004085,0.0025,0.005
2016-07-19,109.265625,0.00475,101.78125,0.004052,0.004155,0.0025,0.005
2016-07-20,109.2265625,0.00475,101.7382813,0.004092,0.004188,0.0025,0.005
2016-07-21,109.296875,0.00475,101.8164063,0.004131,0.004241,0.0025,0.005
2016-07-22,109.265625,0.00475,101.7695313,0.004111,0.00421,0.0025,0.005
2016-07-25,109.203125,0.00475,101.703125,0.004146,0.004245,0.0025,0.005
2016-07-26,109.2109375,0.00475,101.6992188,0.004186,0.004261,0.0025,0.005
2016-07-27,109.2890625,0.00475,101.78125,0.004133,0.004225,0.0025,0.005
2016-07-28,109.296875,0.00475,101.8007813,0.004165,0.004238,0.0025,0.005
2016-07-29,109.4296875,0.005,101.9296875,0.004054,0.004102,0.0025,0.005
2016-08-01,109.390625,0.00485,101.8867188,0.00406,0.0041,0.0025,0.005
2016-08-02,109.3984375,0.00485,101.8632813,0.00409,0.004166,0.0025,0.005
2016-08-03,109.390625,0.005,101.859375,0.004134,0.004191,0.0025,0.005
2016-08-04,109.46875,0.005,101.9257813,0.004115,0.004168,0.0025,0.005
2016-08-05,109.265625,0.005,101.7109375,0.0042,0.00429,0.0025,0.005
2016-08-08,109.265625,0.005,101.6914063,0.004202,0.004262,0.0025,0.005
2016-08-10,109.375,0.00495,101.7929688,0.0041,0.004155,0.0025,0.005
2016-08-11,109.2265625,0.00495,101.6367188,0.004204,0.004265,0.0025,0.005
2016-08-12,109.3203125,0.00495,101.7382813,0.004083,0.004139,0.0025,0.005
2016-08-15,109.28125,0.00495,101.6992188,0.004153,0.004196,0.0025,0.005
2016-08-16,109.21875,0.00495,101.65625,0.004207,0.004295,0.0025,0.005
2016-08-17,109.234375,0.00495,101.671875,0.004208,0.00432,0.0025,0.005
2016-08-18,109.296875,0.00495,101.75,0.004207,0.004319,0.0025,0.005
2016-08-19,109.21875,0.00495,101.640625,0.004226,0.004396,0.0025,0.005
2016-08-22,109.234375,0.00495,101.6679688,0.004299,0.004465,0.0025,0.005
2016-08-23,109.21875,0.00505,101.6328125,0.004314,0.004494,0.0025,0.005
2016-08-24,109.21875,0.00505,101.6210938,0.004366,0.00454,0.0025,0.005
2016-08-25,109.1796875,0.00505,101.5742188,0.004477,0.00466,0.0025,0.005
2016-08-26,109.0234375,0.00535,101.40625,0.004645,0.004845,0.0025,0.005
2016-08-29,109.1171875,0.0054,101.5,0.004545,0.00474,0.0025,0.005
2016-08-30,109.125,0.00545,101.5078125,0.004528,0.004692,0.0025,0.005
2016-08-31,109.140625,0.00545,101.5078125,0.00458,0.00475,0.0025,0.005
2016-09-01,109.140625,0.00535,101.4921875,0.004576,0.004749,0.0025,0.005
2016-09-02,109.125,0.00515,101.4726563,0.00452,0.004713,0.0025,0.005
2016-09-06,109.234375,0.00515,101.6132813,0.00435,0.004525,0.0025,0.005
2016-09-07,109.2265625,0.00515,101.5976563,0.004311,0.004504,0.0025,0.005
2016-09-08,109.140625,0.00535,101.5117188,0.004505,0.004699,0.0025,0.005
2016-09-09,109.1015625,0.00535,101.453125,0.00452,0.004743,0.0025,0.005
2016-09-12,109.15625,0.00535,101.4960938,0.004349,0.004649,0.0025,0.005
2016-09-13,109.0859375,0.00535,101.421875,0.004395,0.004668,0.0025,0.005
2016-09-14,109.1953125,0.0054,101.5351563,0.00437,0.00459,0.0025,0.005
2016-09-15,109.2265625,0.0054,101.5742188,0.004369,0.004566,0.0025,0.005
2016-09-16,109.1328125,0.0053,101.4765625,0.00442,0.004662,0.0025,0.005
2016-09-19,109.140625,0.0053,101.484375,0.004443,0.004713,0.0025,0.005
2016-09-20,109.1328125,0.0053,101.4609375,0.004508,0.004759,0.0025,0.005
2016-09-21,109.1015625,0.0053,101.421875,0.00426,0.004551,0.0025,0.005
2016-09-22,109.140625,0.0053,101.4414063,0.004259,0.004537,0.0025,0.005
2016-09-23,109.1953125,0.00615,101.4921875,0.004276,0.004547,0.0025,0.005
2016-09-26,109.2421875,0.00625,101.5195313,0.00424,0.004472,0.0025,0.005
2016-09-27,109.2734375,0.00675,101.5429688,0.004215,0.004434,0.0025,0.005
2016-09-28,109.25,0.00775,101.5351563,0.004255,0.004517,0.0025,0.005
2016-09-29,109.265625,0.00775,101.5546875,0.004285,0.004555,0.0025,0.005
2016-09-30,109.21875,0.00565,101.5078125,0.00437,0.004653,0.0025,0.005
2016-10-03,109.1328125,0.00585,101.4257813,0.004398,0.004701,0.0025,0.005
2016-10-04,109.0546875,0.00585,101.359375,0.004454,0.004752,0.0025,0.005
2016-10-05,108.984375,0.00585,101.3007813,0.004586,0.004874,0.0025,0.005
