couponDates,couponAmounts,faceAmount,currency,name,isin,issueDate,couponFreq,cfactor
06/30/2014,7.5,1000,USD,CTD_TUH7,US912828A750,12/31/2013,2,0.9263
12/31/2014,7.5,,,,,,,
06/30/2015,7.5,,,,,,,
12/31/2015,7.5,,,,,,,
06/30/2016,7.5,,,,,,,
12/31/2016,7.5,,,,,,,
06/30/2017,7.5,,,,,,,
12/31/2017,7.5,,,,,,,
06/30/2018,7.5,,,,,,,
12/31/2018,7.5,,,,,,,
