couponDates,couponAmounts,faceAmounts,currency,name,isin,issueDate,cfactor
05/31/2017,8.75,0,USD,CTD_FVU7,US912828U659,11/30/2016,0.8453
11/30/2017,8.75,0,,,,,
05/31/2018,8.75,0,,,,,
11/30/2018,8.75,0,,,,,
05/31/2019,8.75,0,,,,,
11/30/2019,8.75,0,,,,,
05/31/2020,8.75,0,,,,,
11/30/2020,8.75,0,,,,,
05/31/2021,8.75,0,,,,,
11/30/2021,8.75,1000,,,,,
